date,Sales,Price Discount (%),In-Store Promo,Catalogue Promo,Store End Promo,Product_SKU1,Product_SKU2,Product_SKU3,Product_SKU4,Product_SKU5,Product_SKU6
2019-09-15,57446,0.17,0,1,0,1,0,0,0,0,0
2019-09-22,58872,0.17,1,0,0,1,0,0,0,0,0
2019-09-29,69480,0.17,0,1,0,1,0,0,0,0,0
2019-10-06,106885,0.44,0,0,0,1,0,0,0,0,0
2019-10-13,36072,0.0,0,0,0,1,0,0,0,0,0
2019-10-20,37454,0.0,0,0,0,1,0,0,0,0,0
2019-10-27,37663,0.0,1,0,1,1,0,0,0,0,0
2019-11-03,60365,0.17,1,0,0,1,0,0,0,0,0
2019-11-10,67770,0.17,1,0,0,1,0,0,0,0,0
2019-11-17,70327,0.17,1,0,0,1,0,0,0,0,0
2019-11-24,72587,0.17,1,0,0,1,0,0,0,0,0
2019-12-01,73956,0.17,0,1,0,1,0,0,0,0,0
2019-12-08,82558,0.17,1,0,0,1,0,0,0,0,0
2019-12-15,85762,0.17,0,1,0,1,0,0,0,0,0
2019-12-22,258874,0.44,0,1,1,1,0,0,0,0,0
2019-12-29,124261,0.44,0,1,1,1,0,0,0,0,0
2020-01-05,41141,0.13,1,0,0,1,0,0,0,0,0
2020-01-12,34303,0.04,1,0,0,1,0,0,0,0,0
2020-01-19,47058,0.17,1,0,0,1,0,0,0,0,0
2020-01-26,58185,0.17,0,0,0,1,0,0,0,0,0
2020-02-02,30020,0.01,0,0,0,1,0,0,0,0,0
2020-02-09,29239,0.01,1,0,1,1,0,0,0,0,0
2020-02-16,45572,0.17,0,0,0,1,0,0,0,0,0
2020-02-23,29275,0.01,0,0,0,1,0,0,0,0,0
2020-03-01,35684,0.01,0,0,0,1,0,0,0,0,0
2020-03-08,36955,0.01,0,0,0,1,0,0,0,0,0
2020-03-15,56886,0.01,0,0,0,1,0,0,0,0,0
2020-03-22,77842,0.0,0,0,0,1,0,0,0,0,0
2020-03-29,43707,0.01,0,0,0,1,0,0,0,0,0
2020-04-05,39473,0.01,0,1,0,1,0,0,0,0,0
2020-04-12,64685,0.17,0,0,0,1,0,0,0,0,0
2020-04-19,39290,0.02,1,0,1,1,0,0,0,0,0
2020-04-26,46829,0.17,0,0,0,1,0,0,0,0,0
2020-05-03,29536,0.01,0,0,0,1,0,0,0,0,0
2020-05-10,31836,0.01,0,0,0,1,0,0,0,0,0
2020-05-17,31406,0.01,0,0,0,1,0,0,0,0,0
2020-05-24,71971,0.45,0,0,0,1,0,0,0,0,0
2020-05-31,29177,0.03,0,0,0,1,0,0,0,0,0
2020-06-07,30877,0.01,0,0,0,1,0,0,0,0,0
2020-06-14,26244,0.01,0,0,0,1,0,0,0,0,0
2020-06-21,25445,0.01,0,0,0,1,0,0,0,0,0
2020-06-28,26410,0.01,0,0,0,1,0,0,0,0,0
2017-02-05,7180,0.25,1,0,0,0,1,0,0,0,0
2017-02-12,7080,0.25,0,0,0,0,1,0,0,0,0
2017-02-19,2753,0.0,0,0,0,0,1,0,0,0,0
2017-02-26,3062,0.0,1,0,0,0,1,0,0,0,0
2017-03-05,8342,0.25,0,0,0,0,1,0,0,0,0
2017-03-12,3124,0.0,0,1,0,0,1,0,0,0,0
2017-03-19,41915,0.5,0,0,0,0,1,0,0,0,0
2017-03-26,3226,0.03,1,0,0,0,1,0,0,0,0
2017-04-02,7618,0.25,0,0,0,0,1,0,0,0,0
2017-04-09,3084,0.03,0,0,0,0,1,0,0,0,0
2017-04-16,2463,0.0,1,0,0,0,1,0,0,0,0
2017-04-23,6547,0.25,0,1,0,0,1,0,0,0,0
2017-04-30,8290,0.25,0,0,0,0,1,0,0,0,0
2017-05-07,3390,0.0,0,0,0,0,1,0,0,0,0
2017-05-14,3450,0.0,0,1,0,0,1,0,0,0,0
2017-05-21,52122,0.5,1,0,0,0,1,0,0,0,0
2017-05-28,7256,0.28,0,0,0,0,1,0,0,0,0
2017-06-04,3081,0.0,0,1,1,0,1,0,0,0,0
2017-06-11,8604,0.25,0,0,0,0,1,0,0,0,0
2017-06-18,3232,0.0,0,1,0,0,1,0,0,0,0
2017-06-25,33566,0.5,0,0,0,0,1,0,0,0,0
2017-07-02,3232,0.05,0,0,0,0,1,0,0,0,0
2017-07-09,2560,0.0,1,0,0,0,1,0,0,0,0
2017-07-16,8489,0.25,0,0,0,0,1,0,0,0,0
2017-07-23,2990,0.0,0,1,0,0,1,0,0,0,0
